ret(t-2),ret(t-1),ret(t),norm,kk
2.53258,2.81656,-3.19823,4.02922,
2.81656,-3.19823,7.83167,4.40745,
-3.19823,7.83167,0.385617,4.13416,
7.83167,0.385617,-5.14279,4.47127,
0.385617,-5.14279,-1.43536,3.79769,
-5.14279,-1.43536,-4.17434,3.32025,
-1.43536,-4.17434,11.0637,2.9744,
-4.17434,11.0637,9.41106,2.74178,
11.0637,9.41106,3.47859,3.86229,
9.41106,3.47859,-3.04409,3.88468,
3.47859,-3.04409,-3.46364,3.99347,
-3.04409,-3.46364,1.17488,3.99347,
-3.46364,1.17488,-8.78006,3.9859,
1.17488,-8.78006,-2.46032,3.9859,
-8.78006,-2.46032,-2.39776,4.0935,
-2.46032,-2.39776,1.46442,3.53065,
-2.39776,1.46442,3.83711,3.49352,
1.46442,3.83711,-0.677037,3.74896,
3.83711,-0.677037,0.159716,3.70966,
-0.677037,0.159716,5.28477,2.79149,
0.159716,5.28477,-0.333982,2.77135,
5.28477,-0.333982,8.41184,3.09276,
-0.333982,8.41184,-0.221735,3.10665,
8.41184,-0.221735,-4.76078,3.26102,
-0.221735,-4.76078,-5.32249,3.27685,
-4.76078,-5.32249,-1.22297,4.48155,
-5.32249,-1.22297,-0.572172,1.94242,
-1.22297,-0.572172,2.65659,1.77413,
-0.572172,2.65659,6.05058,1.77413,
2.65659,6.05058,1.26027,1.84636,
6.05058,1.26027,5.33664,2.10357,
1.26027,5.33664,-4.45129,2.28665,
5.33664,-4.45129,-1.60966,1.7589,
-4.45129,-1.60966,1.33966,1.7589,
-1.60966,1.33966,-3.21181,1.95688,
1.33966,-3.21181,0.490225,1.46766,
-3.21181,0.490225,0.840159,1.43233,
0.490225,0.840159,0.783462,0.694682,
0.840159,0.783462,0.126098,0.677372,
0.783462,0.126098,-0.080764,0.677758,
0.126098,-0.080764,-0.507597,0.66047,
-0.080764,-0.507597,3.46756,0.572343,
-0.507597,3.46756,-0.047476,0.408555,
3.46756,-0.047476,-0.765091,0.356237,
-0.047476,-0.765091,0.466583,0.324702,
-0.765091,0.466583,1.38314,0.352539,
0.466583,1.38314,1.51413,0.352539,
1.38314,1.51413,-1.02951,0.320246,
1.51413,-1.02951,-0.433585,0.30928,
-1.02951,-0.433585,5.80695,0.30928,
-0.433585,5.80695,2.05901,0.30928,
5.80695,2.05901,-4.27389,0.189658,
2.05901,-4.27389,-0.958156,0.188141,
-4.27389,-0.958156,-31.6589,0.188141,
-0.958156,-31.6589,-11.2275,0.262586,
-31.6589,-11.2275,-22.8744,0.158066,
-11.2275,-22.8744,-35.6424,20.2995,
-22.8744,-35.6424,-3.37633,21.2121,
-35.6424,-3.37633,5.869,22.086,
-3.37633,5.869,-7.5465,22.1892,
5.869,-7.5465,-7.45467,21.1456,
-7.5465,-7.45467,-20.236,3.29128,
-7.45467,-20.236,-3.88667,1.04547,
-20.236,-3.88667,20.039,1.04547,
-3.88667,20.039,1.88936,4.58535,
20.039,1.88936,-6.28276,4.51198,
1.88936,-6.28276,1.92513,4.50625,
-6.28276,1.92513,-4.19102,4.37309,
1.92513,-4.19102,-21.0457,4.37309,
-4.19102,-21.0457,-2.70124,4.37806,
-21.0457,-2.70124,4.85322,0.376667,
-2.70124,4.85322,0.305517,0.370574,
4.85322,0.305517,0.1055,0.354442,
0.305517,0.1055,-6.34714,0.837135,
0.1055,-6.34714,0.924594,0.625441,
-6.34714,0.924594,-0.861961,0.297716,
0.924594,-0.861961,0.755527,0.315681,
-0.861961,0.755527,-0.775845,0.315681,
0.755527,-0.775845,3.80042,0.315681,
-0.775845,3.80042,3.94476,0.349695,
3.80042,3.94476,1.51089,0.350668,
3.94476,1.51089,6.77875,0.274152,
1.51089,6.77875,2.13964,0.35403,
6.77875,2.13964,11.52,0.35403,
2.13964,11.52,11.9981,0.361694,
11.52,11.9981,2.32979,0.361694,
11.9981,2.32979,0.643842,0.361694,
2.32979,0.643842,6.87712,0.395475,
0.643842,6.87712,7.2623,0.307911,
6.87712,7.2623,6.27651,0.304995,
7.2623,6.27651,-2.74686,0.417071,
6.27651,-2.74686,-12.2885,0.516972,
-2.74686,-12.2885,-1.87441,0.511678,
-12.2885,-1.87441,1.7137,0.511678,
-1.87441,1.7137,-0.132645,0.781313,
1.7137,-0.132645,-10.7051,1.10734,
-0.132645,-10.7051,-13.0542,1.43181,
-10.7051,-13.0542,-3.53302,1.88479,
-13.0542,-3.53302,3.79355,2.36538,
-3.53302,3.79355,-5.83855,2.4337,
3.79355,-5.83855,5.72507,2.34872,
-5.83855,5.72507,4.23439,1.81039,
5.72507,4.23439,6.64561,1.50622,
4.23439,6.64561,3.40136,2.19473,
6.64561,3.40136,-3.52679,2.20626,
3.40136,-3.52679,4.29798,2.20626,
-3.52679,4.29798,5.03393,2.20626,
4.29798,5.03393,9.73809,2.445,
5.03393,9.73809,8.30963,2.445,
9.73809,8.30963,-2.80871,2.88522,
8.30963,-2.80871,0.767782,3.9045,
-2.80871,0.767782,3.31578,4.16198,
0.767782,3.31578,-2.02048,3.97595,
3.31578,-2.02048,3.21509,3.97595,
-2.02048,3.21509,-1.35641,3.87758,
3.21509,-1.35641,-1.44406,3.97929,
-1.35641,-1.44406,7.33692,3.97929,
-1.44406,7.33692,1.10682,4.13571,
7.33692,1.10682,0.218198,4.05277,
1.10682,0.218198,-10.3105,4.05277,
0.218198,-10.3105,-1.35305,3.44117,
-10.3105,-1.35305,1.07707,3.31859,
-1.35305,1.07707,-1.78227,2.97098,
1.07707,-1.78227,-0.624915,3.92611,
-1.78227,-0.624915,4.11813,4.12657,
-0.624915,4.11813,5.69463,4.17042,
4.11813,5.69463,-2.813,4.27096,
5.69463,-2.813,3.72393,4.89782,
-2.813,3.72393,4.17589,4.87183,
3.72393,4.17589,-3.16004,4.54618,
4.17589,-3.16004,-4.63346,3.21392,
-3.16004,-4.63346,2.32589,2.87438,
-4.63346,2.32589,0.610467,2.7083,
2.32589,0.610467,-1.79425,2.576,
0.610467,-1.79425,1.606,2.68816,
-1.79425,1.606,-0.040085,2.20369,
1.606,-0.040085,-2.41745,1.92667,
-0.040085,-2.41745,-2.2775,1.20679,
-2.41745,-2.2775,-7.85644,1.08792,
-2.2775,-7.85644,1.07281,1.02714,
-7.85644,1.07281,1.58368,1.00635,
1.07281,1.58368,0.099947,0.948684,
1.58368,0.099947,-1.47942,0.947212,
0.099947,-1.47942,-0.290951,0.947212,
-1.47942,-0.290951,2.34884,0.804978,
-0.290951,2.34884,-2.22044,0.792221,
2.34884,-2.22044,-4.52348,0.78933,
-2.22044,-4.52348,-0.428929,0.796767,
-4.52348,-0.428929,1.37169,0.90048,
-0.428929,1.37169,1.09253,0.850891,
1.37169,1.09253,5.17449,1.17693,
1.09253,5.17449,-3.74375,1.17693,
5.17449,-3.74375,2.60585,1.12104,
-3.74375,2.60585,-0.748941,1.08441,
2.60585,-0.748941,-3.85524,0.74425,
-0.748941,-3.85524,-1.83198,0.74425,
-3.85524,-1.83198,1.55108,1.22704,
-1.83198,1.55108,-3.60951,1.22704,
1.55108,-3.60951,1.2585,1.22704,
-3.60951,1.2585,-0.185485,1.24012,
1.2585,-0.185485,0.267286,1.15585,
-0.185485,0.267286,2.89127,0.890099,
0.267286,2.89127,-0.701176,1.02407,
2.89127,-0.701176,5.35231,1.3799,
-0.701176,5.35231,-0.094025,1.31269,
5.35231,-0.094025,1.8425,1.39558,
-0.094025,1.8425,8.06796,1.39558,
1.8425,8.06796,-2.17533,1.39308,
8.06796,-2.17533,0.340323,1.42161,
-2.17533,0.340323,-1.6462,1.42336,
0.340323,-1.6462,1.13017,1.32227,
-1.6462,1.13017,1.20063,1.27001,
1.13017,1.20063,-3.16781,1.37924,
1.20063,-3.16781,1.82398,1.194,
-3.16781,1.82398,-1.61477,1.19411,
1.82398,-1.61477,-3.35179,1.19686,
-1.61477,-3.35179,2.07065,1.11343,
-3.35179,2.07065,3.12918,1.02294,
2.07065,3.12918,0.3834,1.02302,
3.12918,0.3834,2.40254,1.02991,
0.3834,2.40254,-1.86098,0.891941,
2.40254,-1.86098,-0.290923,0.83306,
-1.86098,-0.290923,-0.512806,0.923843,
-0.290923,-0.512806,1.02999,0.818316,
-0.512806,1.02999,0.818259,0.774677,
1.02999,0.818259,-1.46898,0.867344,
0.818259,-1.46898,0.587292,0.837227,
-1.46898,0.587292,1.57351,0.665309,
0.587292,1.57351,0.087416,0.647996,
1.57351,0.087416,-1.30003,0.658579,
0.087416,-1.30003,0.373604,0.658579,
-1.30003,0.373604,11.6492,0.641644,
0.373604,11.6492,12.2971,0.644492,
11.6492,12.2971,2.39752,0.552252,
12.2971,2.39752,2.71135,1.16799,
2.39752,2.71135,13.2899,0.989172,
2.71135,13.2899,13.2852,1.1905,
13.2899,13.2852,-4.64582,1.11444,
13.2852,-4.64582,3.69274,0.908431,
-4.64582,3.69274,-1.78794,0.908431,
3.69274,-1.78794,-4.46322,0.897817,
-1.78794,-4.46322,3.58297,0.897817,
-4.46322,3.58297,0.906154,0.884871,
3.58297,0.906154,-0.508289,0.958279,
0.906154,-0.508289,1.78264,0.953955,
-0.508289,1.78264,9.43808,0.931393,
1.78264,9.43808,6.45757,1.22704,
9.43808,6.45757,1.31524,0.375917,
6.45757,1.31524,-0.170829,0.384426,
1.31524,-0.170829,-3.51292,0.456526,
-0.170829,-3.51292,6.4126,0.652871,
-3.51292,6.4126,1.52736,1.11598,
6.4126,1.52736,2.17267,1.00012,
1.52736,2.17267,1.19978,0.824479,
2.17267,1.19978,-18.3663,0.607782,
1.19978,-18.3663,2.37396,0.652773,
-18.3663,2.37396,2.97323,0.436777,
2.37396,2.97323,2.65388,0.387647,
2.97323,2.65388,-3.10835,0.387647,
2.65388,-3.10835,-0.093911,0.394671,
-3.10835,-0.093911,-4.53289,0.394671,
-0.093911,-4.53289,-3.60436,0.694349,
-4.53289,-3.60436,7.99944,0.720878,
-3.60436,7.99944,1.65369,0.740837,
7.99944,1.65369,-1.33144,0.266768,
1.65369,-1.33144,-20.5824,0.266891,
-1.33144,-20.5824,-17.1025,0.637903,
-20.5824,-17.1025,14.6,0.667485,
-17.1025,14.6,1.27626,0.8278,
14.6,1.27626,-1.6957,0.77026,
1.27626,-1.6957,-1.51291,0.974727,
-1.6957,-1.51291,-1.91448,0.832475,
-1.51291,-1.91448,1.62705,1.11167,
-1.91448,1.62705,3.71375,1.02352,
1.62705,3.71375,1.08038,0.928535,
3.71375,1.08038,2.85566,1.20109,
1.08038,2.85566,13.0407,1.22134,
2.85566,13.0407,-0.847571,1.22885,
13.0407,-0.847571,-6.49919,1.53094,
-0.847571,-6.49919,3.09921,1.58913,
-6.49919,3.09921,-1.83369,1.63446,
3.09921,-1.83369,-0.38411,1.70467,
-1.83369,-0.38411,-1.17469,1.16651,
-0.38411,-1.17469,1.11472,1.10905,
-1.17469,1.11472,8.83185,1.24749,
1.11472,8.83185,-1.23242,1.25135,
8.83185,-1.23242,-4.30192,1.42142,
-1.23242,-4.30192,0.452931,1.42142,
-4.30192,0.452931,1.88213,1.39201,
0.452931,1.88213,1.00019,1.4987,
1.88213,1.00019,3.81089,1.28551,
1.00019,3.81089,-1.59478,1.47034,
3.81089,-1.59478,1.39856,1.46633,
-1.59478,1.39856,5.59546,1.54869,
1.39856,5.59546,3.56885,1.72661,
5.59546,3.56885,-1.10577,2.28909,
3.56885,-1.10577,2.09653,2.21481,
-1.10577,2.09653,2.64501,2.21481,
2.09653,2.64501,-8.26734,1.928,
2.64501,-8.26734,1.34087,1.27789,
-8.26734,1.34087,0.755649,1.33291,
1.34087,0.755649,-1.38449,1.5803,
0.755649,-1.38449,-0.833325,1.25011,
-1.38449,-0.833325,0.066011,1.2323,
-0.833325,0.066011,-4.29948,1.2323,
0.066011,-4.29948,-3.15647,0.861287,
-4.29948,-3.15647,-0.952341,0.696199,
-3.15647,-0.952341,3.9619,0.555522,
-0.952341,3.9619,-0.922395,0.508742,
3.9619,-0.922395,-2.40674,0.500984,
-0.922395,-2.40674,-4.42042,0.459786,
-2.40674,-4.42042,-0.851306,0.513633,
-4.42042,-0.851306,3.78315,0.513633,
-0.851306,3.78315,3.21172,0.518627,
3.78315,3.21172,3.72913,0.558711,
